PostCode,NumericID,CommutingZoneID,CommutingZoneName
81248,34,Europe1689,dachau
60315,168,Europe987,frankfurt
24988,74,Europe2189,flensburg
93185,102,Europe2291,regensburg
93489,106,Europe2295,cham
93494,106,Europe2295,cham
93473,106,Europe2295,cham
99331,166,Europe985,erfurt
60312,168,Europe987,frankfurt
98694,159,Europe978,ilmenau
39628,22,Europe1465,stendal
64760,120,Europe690,heidelberg
35647,168,Europe987,frankfurt
31195,21,Europe1464,hanover
31084,21,Europe1464,hanover
27639,14,Europe1457,bremerhaven
99707,126,Europe903,sangerhausen
93413,106,Europe2295,cham
93499,106,Europe2295,cham
25867,71,Europe2186,westerland
82475,37,Europe1692,garmisch-partenkirchen
49593,146,Europe939,lingen
93477,106,Europe2295,cham
24367,77,Europe2192,rendsburg
60306,168,Europe987,frankfurt
49849,143,Europe936,dortmund
93444,106,Europe2295,cham
93488,106,Europe2295,cham
04862,139,Europe916,torgau
38473,20,Europe1463,braunschweig
09634,127,Europe904,freiberg
16552,92,Europe2259,berlin
29579,27,Europe1470,uelzen
93466,106,Europe2295,cham
93189,102,Europe2291,regensburg
99819,164,Europe983,bad hersfeld
93497,106,Europe2295,cham
93476,106,Europe2295,cham
93437,106,Europe2295,cham
49610,146,Europe939,lingen
38476,20,Europe1463,braunschweig
93480,106,Europe2295,cham
93453,106,Europe2295,cham
93491,106,Europe2295,cham
49699,146,Europe939,lingen
38556,20,Europe1463,braunschweig
49696,146,Europe939,lingen
93468,106,Europe2295,cham
93192,102,Europe2291,regensburg
93479,106,Europe2295,cham
93449,106,Europe2295,cham
93483,106,Europe2295,cham
49692,146,Europe939,lingen
35687,152,Europe971,gießen
35690,152,Europe971,gießen
49688,146,Europe939,lingen
49685,146,Europe939,lingen
35686,152,Europe971,gießen
49681,146,Europe939,lingen
49661,146,Europe939,lingen
35684,152,Europe971,gießen
49635,146,Europe939,lingen
25576,81,Europe2196,itzehoe
49632,146,Europe939,lingen
49456,146,Europe939,lingen
35688,152,Europe971,gießen
49439,146,Europe939,lingen
49429,146,Europe939,lingen
49424,146,Europe939,lingen
49413,146,Europe939,lingen
49401,146,Europe939,lingen
49638,146,Europe939,lingen
38378,29,Europe1472,magdeburg
49637,146,Europe939,lingen
49624,146,Europe939,lingen
49393,146,Europe939,lingen
49377,146,Europe939,lingen
49596,146,Europe939,lingen
35685,152,Europe971,gießen
35683,152,Europe971,gießen
49451,146,Europe939,lingen
49434,146,Europe939,lingen
35689,152,Europe971,gießen
93161,102,Europe2291,regensburg
49846,146,Europe939,lingen
49844,146,Europe939,lingen
49774,146,Europe939,lingen
93109,102,Europe2291,regensburg
21737,14,Europe1457,bremerhaven
38479,20,Europe1463,braunschweig
21729,14,Europe1457,bremerhaven
24887,70,Europe2185,schleswig
38477,20,Europe1463,braunschweig
93152,102,Europe2291,regensburg
93170,102,Europe2291,regensburg
24885,74,Europe2189,flensburg
38553,20,Europe1463,braunschweig
93182,102,Europe2291,regensburg
24882,70,Europe2185,schleswig
24881,70,Europe2185,schleswig
24876,70,Europe2185,schleswig
24873,74,Europe2189,flensburg
24870,70,Europe2185,schleswig
24869,70,Europe2185,schleswig
24867,70,Europe2185,schleswig
38550,20,Europe1463,braunschweig
24866,70,Europe2185,schleswig
48249,143,Europe936,dortmund
48324,144,Europe937,bielefeld
48317,143,Europe936,dortmund
59387,143,Europe936,dortmund
59394,143,Europe936,dortmund
59368,143,Europe936,dortmund
59348,143,Europe936,dortmund
59399,143,Europe936,dortmund
59379,143,Europe936,dortmund
45731,143,Europe936,dortmund
45739,143,Europe936,dortmund
45721,143,Europe936,dortmund
45711,143,Europe936,dortmund
37649,147,Europe940,hameln
32683,147,Europe940,hameln
38474,20,Europe1463,braunschweig
32791,144,Europe937,bielefeld
38471,20,Europe1463,braunschweig
32699,147,Europe940,hameln
32694,144,Europe937,bielefeld
32689,144,Europe937,bielefeld
32657,144,Europe937,bielefeld
46348,143,Europe936,dortmund
37696,147,Europe940,hameln
38557,20,Europe1463,braunschweig
37688,154,Europe973,kassel
37671,147,Europe940,hameln
34439,154,Europe973,kassel
34434,154,Europe973,kassel
38554,20,Europe1463,braunschweig
34414,154,Europe973,kassel
32825,147,Europe940,hameln
32816,147,Europe940,hameln
32676,147,Europe940,hameln
46499,143,Europe936,dortmund
38547,20,Europe1463,braunschweig
38531,20,Europe1463,braunschweig
38524,20,Europe1463,braunschweig
48499,143,Europe936,dortmund
48488,146,Europe939,lingen
48493,143,Europe936,dortmund
48607,143,Europe936,dortmund
48455,143,Europe936,dortmund
48599,143,Europe936,dortmund
48691,143,Europe936,dortmund
48703,143,Europe936,dortmund
48683,143,Europe936,dortmund
48619,143,Europe936,dortmund
38530,20,Europe1463,braunschweig
48739,143,Europe936,dortmund
93047,102,Europe2291,regensburg
48629,143,Europe936,dortmund
48624,143,Europe936,dortmund
48612,143,Europe936,dortmund
48366,143,Europe936,dortmund
48565,143,Europe936,dortmund
93176,102,Europe2291,regensburg
93186,102,Europe2291,regensburg
93083,102,Europe2291,regensburg
93093,102,Europe2291,regensburg
93101,102,Europe2291,regensburg
48356,143,Europe936,dortmund
48341,143,Europe936,dortmund
48329,143,Europe936,dortmund
48720,143,Europe936,dortmund
48727,143,Europe936,dortmund
48653,143,Europe936,dortmund
93128,102,Europe2291,regensburg
93164,102,Europe2291,regensburg
48301,143,Europe936,dortmund
48308,143,Europe936,dortmund
48712,143,Europe936,dortmund
48734,143,Europe936,dortmund
93179,102,Europe2291,regensburg
46342,143,Europe936,dortmund
46359,143,Europe936,dortmund
93105,102,Europe2291,regensburg
93142,102,Europe2291,regensburg
93343,40,Europe1695,ingolstadt
93348,40,Europe1695,ingolstadt
93359,40,Europe1695,ingolstadt
93333,40,Europe1695,ingolstadt
93346,40,Europe1695,ingolstadt
46354,143,Europe936,dortmund
46325,143,Europe936,dortmund
